(+ve word count) ,(-ve word count),(overall polarity),(times change in pol),(largest + cont),(largest - cont),(capital letters),(punctuation)
1,3,-3,1,1,3,7,2
3,0,4,0,3,0,8,0
0,0,0,0,0,0,1,4
1,0,1,0,1,0,1,1
2,0,3,0,2,0,21,1
1,1,1,1,1,1,8,3
1,0,3,0,1,0,1,0
0,0,0,0,0,0,7,1
1,0,1,0,1,0,15,0
1,3,-2,2,1,2,4,1
2,0,2,0,2,0,1,0
1,0,1,0,1,0,1,0
1,3,-4,2,1,2,2,1
2,1,3,1,2,1,2,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,7,3
0,0,0,0,0,0,2,2
1,0,1,0,1,0,4,0
3,2,1,2,2,2,7,0
0,0,0,0,0,0,4,1
1,0,1,0,1,0,1,1
1,0,2,0,1,0,3,4
0,0,0,0,0,0,4,1
1,1,-1,1,1,1,4,1
1,0,2,0,1,0,12,1
2,0,4,0,2,0,2,0
0,1,-1,0,0,1,1,1
2,0,4,0,2,0,8,1
1,0,1,0,1,0,1,0
1,1,0,1,1,1,6,3
1,0,1,0,1,0,1,1
0,1,-1,0,0,1,3,2
1,0,1,0,1,0,6,0
0,1,-2,0,0,1,8,0
1,0,1,0,1,0,2,0
0,2,-4,0,0,2,3,0
1,0,1,0,1,0,2,0
0,0,0,0,0,0,3,0
1,0,2,0,1,0,1,0
0,1,-1,0,0,1,3,0
1,1,0,1,1,1,5,3
0,1,-2,0,0,1,6,1
0,0,0,0,0,0,1,0
1,0,1,0,1,0,7,2
1,1,-1,1,1,1,9,1
0,0,0,0,0,0,2,0
1,0,1,0,1,0,3,0
2,0,4,0,2,0,4,1
1,2,-1,1,1,2,3,0
1,0,1,0,1,0,13,5
2,0,3,0,2,0,12,0
2,0,2,0,2,0,3,3
0,0,0,0,0,0,3,1
2,0,4,0,2,0,1,0
0,0,0,0,0,0,9,0
3,0,3,0,3,0,9,0
0,0,0,0,0,0,4,0
1,1,0,1,1,1,1,0
3,0,3,0,3,0,3,0
0,0,0,0,0,0,4,0
1,2,-2,1,1,2,3,0
0,0,0,0,0,0,1,0
2,1,0,2,1,1,3,1
1,0,2,0,1,0,1,0
2,0,2,0,2,0,7,0
0,0,0,0,0,0,21,0
1,0,1,0,1,0,1,1
0,1,-3,0,0,1,2,0
0,0,0,0,0,0,7,0
0,2,-2,0,0,2,2,0
0,1,-1,0,0,1,1,1
1,0,1,0,1,0,0,0
3,0,4,0,3,0,5,1
2,1,1,1,2,1,3,0
2,0,3,0,2,0,4,0
1,0,1,0,1,0,1,3
0,0,0,0,0,0,8,0
1,0,2,0,1,0,0,1
0,0,0,0,0,0,1,0
1,1,0,1,1,1,5,0
0,1,-1,0,0,1,1,1
1,0,1,0,1,0,4,1
0,0,0,0,0,0,1,1
1,1,-1,1,1,1,5,0
1,0,1,0,1,0,1,0
1,0,2,0,1,0,1,0
1,2,-2,2,1,1,4,1
0,0,0,0,0,0,3,2
1,0,1,0,1,0,2,1
1,0,2,0,1,0,2,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,16,1
1,1,0,1,1,1,16,1
1,0,2,0,1,0,3,6
1,1,0,1,1,1,3,0
1,4,-5,1,1,4,5,2
0,2,-2,0,0,2,8,1
1,0,1,0,1,0,5,0
0,1,-1,0,0,1,2,4
1,0,1,0,1,0,2,0
1,0,1,0,1,0,1,1
1,2,-4,1,1,2,6,5
1,0,2,0,1,0,3,0
0,0,0,0,0,0,3,0
0,1,-1,0,0,1,1,2
0,1,-2,0,0,1,9,3
1,0,1,0,1,0,6,7
0,1,-2,0,0,1,2,0
2,0,3,0,2,0,3,0
0,1,-1,0,0,1,2,0
1,1,0,1,1,1,3,0
0,0,0,0,0,0,4,1
1,3,-3,1,1,3,0,5
1,2,-1,1,1,2,1,0
0,0,0,0,0,0,1,1
1,0,2,0,1,0,7,2
1,0,1,0,1,0,2,0
